Date,R1FPMF Index,RLG Index,RLV Index,RTY Index,R1FQF Index
1/1/2003,392.96,,,,349.16
1/2/2003,404.44,377.937,469.887,392.574,359.28
1/3/2003,404.29,377.65,469.817,390.31,359.14
1/4/2003,,,,,
1/5/2003,,,,,
1/6/2003,411.91,384.026,483.293,396.992,365.66
1/7/2003,408.14,382.548,478.448,393.949,361.99
1/8/2003,403.4,377.349,471.513,389.073,357.53
1/9/2003,409.98,384.964,479.64,395.935,363.51
1/10/2003,409.36,385.415,479.251,396.439,363.01
1/11/2003,,,,,
1/12/2003,,,,,
1/13/2003,408.62,384.989,478.486,396.184,362.1
1/14/2003,410.39,386.841,481.649,398.451,363.66
1/15/2003,405.02,380.911,475.556,395.526,358.69
1/16/2003,404.18,379.507,473.584,394.881,358.12
1/17/2003,400.2,373.096,468.641,388.097,353.32
1/18/2003,,,,,
1/19/2003,,,,,
1/20/2003,400.2,,,,353.32
1/21/2003,394.41,368.114,460.522,383.178,348.52
1/22/2003,390.98,365.2,455.088,380.532,345.71
1/23/2003,394.4,369.927,458.145,383.683,347.78
1/24/2003,384.26,359.166,445.546,375.072,338.82
1/25/2003,,,,,
1/26/2003,,,,,
1/27/2003,378.13,353.553,437.928,368.585,332.81
1/28/2003,382.74,358.388,443.202,373.18,336.91
1/29/2003,385.23,360.624,446.337,374.844,339.85
1/30/2003,378,352.285,437.069,367.624,332.44
1/31/2003,383.77,356.311,443.938,372.177,337.25
2/1/2003,,,,,
2/2/2003,,,,,
2/3/2003,385.02,357.615,446.375,370.256,339.12
2/4/2003,380.46,352.453,440.686,368.727,335.88
2/5/2003,378.57,350.908,437.928,366.998,334.05
2/6/2003,376.59,349.388,434.148,364.745,332.41
2/7/2003,373.09,345.794,429.899,358.793,329.29
2/8/2003,,,,,
2/9/2003,,,,,
2/10/2003,375.72,348.61,432.687,362.104,331.34
2/11/2003,372.75,346.577,428.379,359.967,328.72
2/12/2003,368.33,342.533,422.054,355.392,324.88
2/13/2003,368.06,340.991,422.168,354.776,323.96
2/14/2003,374.81,348.497,429.627,358.508,329.88
2/15/2003,,,,,
2/16/2003,,,,,
2/17/2003,374.81,,,,329.88
2/18/2003,381.45,356.291,437.128,364.534,336.1
2/19/2003,378.85,354.15,433.725,360.285,333.57
2/20/2003,375.8,351.378,429.416,359.742,330.44
2/21/2003,380.99,356.177,434.94,364.358,334.65
2/22/2003,,,,,
2/23/2003,,,,,
2/24/2003,374.24,349.739,427.224,358.224,329
2/25/2003,376.86,352.302,430.26,361.199,331.47
2/26/2003,372.71,347.732,424.766,357.971,327.91
2/27/2003,376.56,352.049,429.48,361.429,331.43
2/28/2003,377.68,354.193,430.942,360.524,332.61
3/1/2003,,,,,
3/2/2003,,,,,
3/3/2003,375.32,350.407,429.473,359.312,330.41
3/4/2003,369.93,345.226,422.928,356.511,325.86
3/5/2003,373.11,348.353,426.636,356.538,328.67
3/6/2003,370.21,346.254,421.556,353.841,326.48
3/7/2003,373.42,349.054,424.793,354.185,329.13
3/8/2003,,,,,
3/9/2003,,,,,
3/10/2003,364.44,340.656,413.683,348.011,322.34
3/11/2003,361.77,338.507,409.294,347.03,320.75
3/12/2003,362.71,340.986,408.866,345.947,322.15
3/13/2003,374.07,353.414,421.746,355.446,331.12
3/14/2003,374.5,353.325,423.185,354.391,331.04
3/15/2003,,,,,
3/16/2003,,,,,
